crime_rate,gdp_capita,minority_percentage,freedom,infrastructure,life_expectancy,price_food,price_water,price_energy,price_housing,tax_progressiveness,openness,neuroticism,consciencitiousness,agreeableness,extraversion,intelligence,racism,skepticism,ambition,loyalty,local,national,income,job_satisfaction,age,education,crime_themselves,crime_on_him,tolerance,community,unemployment_time,personal_taxes_level,security,risk_aversion,public_spending,cost_of_living,minorities_support,stability,job_security,future_outlook,equality_markets,nation_globe,liberty_authority,tradition_progress
0.922,50618,0.114,0.568,0.376,78.7,363.348,216.895,4867.655,80009,0.188,0.222,-0.201,0.083,0.245,0.272,0.331,-0.643,0.045,0.225,-0.31,0.075,0.195,0.209,0.77,19,0.184,0.022,0.834,0.477,0.373,0.784,0.309,0.588,0.017,-0.036,0.398,0.16,0.024,0.671,-0.021,0.28,-0.057,-0.195,0.273
2.393,97324,0.166,0.599,0.821,83.2,453.94,223.558,5042.742,140514,0.254,-0.023,0.328,0.097,0.199,-0.506,0.073,-0.031,0.075,0.123,0.158,0.201,0.23,0.208,0.667,18,0.208,0.117,0.592,0.161,0.406,0.013,0.151,0.627,-0.042,0.455,0.535,0.379,-0.001,0.591,0.015,0.212,-0.013,-1.0,-0.009
1.664,92221,0.212,0.634,0.991,79.1,424.929,216.225,5230.031,170002,0.184,-0.322,0.458,-0.295,0.187,-0.591,0.076,0.462,-0.213,-0.69,-0.614,-0.09,0.18,0.174,0.332,21,-0.039,0.133,0.711,-0.541,0.542,0.02,-0.442,0.157,0.024,-0.059,0.498,0.196,0.059,0.329,-0.048,-0.239,-0.154,-0.765,0.136
1.771,37889,0.113,0.62,0.431,77.0,367.448,205.347,4826.41,50013,0.383,0.031,0.455,0.448,-0.401,-0.406,0.091,-0.864,0.386,0.406,-0.376,0.625,0.43,0.573,-0.205,22,0.213,0.088,0.369,0.675,-0.581,0.059,-0.153,1.0,-0.008,0.641,0.333,0.008,0.008,1.0,0.015,0.694,0.447,0.037,-0.282
2.502,36530,0.176,0.582,0.32,80.6,354.056,226.301,5126.371,44979,0.297,-0.646,0.202,-0.078,0.175,-0.595,0.414,-0.731,0.464,-0.687,-0.245,0.295,0.058,0.547,0.648,25,0.033,0.037,0.882,0.359,0.17,0.079,0.047,0.478,-0.001,0.725,0.346,0.597,0.031,0.478,-0.042,-0.401,-0.342,-0.686,0.686
1.438,94971,0.199,0.652,0.849,75.9,456.917,216.223,5023.228,152691,0.142,-0.08,-0.603,0.071,-0.085,-0.616,0.592,-0.313,-0.171,0.705,0.622,-0.009,0.012,0.193,-0.436,17,0.134,0.124,0.46,0.127,0.385,0.825,-0.149,0.693,-0.049,0.604,0.557,0.459,-0.099,0.793,0.004,0.508,0.259,-0.395,0.338
1.12,46723,0.101,0.594,0.444,80.4,374.885,210.513,4904.472,94063,0.353,0.044,-0.25,-0.414,-0.185,-0.065,0.132,0.055,0.262,0.645,-0.2,0.227,0.199,0.199,-0.385,19,0.198,0.135,0.408,-0.185,0.17,0.059,0.341,0.984,0.024,0.979,0.404,0.012,0.002,1.0,-0.006,0.949,-0.999,-0.906,1.0
1.9,100426,0.179,0.61,0.952,81.5,440.033,225.371,5321.792,144586,0.269,-0.158,-0.514,0.219,0.038,-0.123,0.791,-0.316,-0.102,0.008,0.457,0.144,0.041,0.227,0.027,26,0.527,0.123,0.388,-0.027,0.693,0.043,-0.217,0.729,-0.186,-0.08,0.512,0.457,0.749,0.681,-0.279,-0.115,0.306,-0.742,0.317
1.355,39587,0.12,0.623,0.34,76.9,344.829,212.616,4969.94,58563,0.354,-0.162,0.274,0.101,0.392,-0.742,0.258,-0.313,0.358,-0.391,0.179,0.248,0.157,0.218,-0.243,26,0.621,0.04,0.537,0.493,0.199,0.656,0.606,0.079,-0.042,0.174,0.303,0.234,-0.037,0.834,0.001,0.152,-0.141,-0.116,-0.016
2.103,89917,0.212,0.568,0.931,78.7,433.709,213.694,5131.252,154137,0.399,0.484,-0.58,0.436,-0.113,-0.605,0.064,-0.114,0.64,0.944,-0.632,-0.175,-0.448,0.218,-0.804,19,0.256,0.04,0.207,0.402,-0.453,0.864,0.167,1.0,0.053,0.396,0.525,0.68,-0.003,0.491,-0.02,0.933,0.876,-0.743,0.762
1.68,95752,0.185,0.661,0.936,79.6,455.652,224.841,5180.171,152852,0.246,0.423,0.241,0.421,-0.229,0.376,0.298,0.013,0.97,1.0,0.096,-0.781,-0.813,0.487,-0.008,17,0.145,0.074,0.711,0.16,1.0,0.025,0.612,-0.479,1.0,-0.033,0.599,-0.945,-0.942,1.0,1.0,-0.633,0.995,-0.991,0.956
1.723,91173,0.191,0.667,0.977,76.3,450.295,221.328,5306.556,135341,0.291,-0.595,-0.538,-0.569,-0.155,-0.03,0.021,0.423,0.278,-0.35,0.443,0.035,-0.025,0.204,-0.628,17,0.168,0.032,0.3,-0.457,-0.261,0.079,0.301,0.117,0.861,0.005,0.515,-0.061,0.031,0.049,0.243,-0.079,0.044,-0.049,0.017
0.907,49245,0.092,0.683,0.578,81.2,367.994,210.856,5253.798,73544,0.291,-0.162,0.051,0.247,-0.472,-0.129,0.281,0.075,0.341,0.332,0.254,-0.218,-0.04,0.201,0.515,16,0.015,0.106,0.447,-0.146,-0.39,0.806,0.011,-0.34,-0.051,0.38,0.345,0.115,-0.054,-0.221,0.038,0.288,0.375,-0.816,-0.574
1.161,47670,0.127,0.515,0.378,79.8,403.012,212.7,5045.749,71720,0.357,0.062,0.157,-0.191,0.435,-0.182,-0.018,0.032,0.046,-0.005,-0.158,0.008,-0.308,0.166,0.962,33,0.001,0.109,0.544,-0.029,-0.498,0.204,-0.216,0.985,-0.648,0.064,0.417,0.819,1.0,0.992,-0.029,-0.134,-1.0,-0.258,-0.007
1.541,51109,0.117,0.697,0.508,76.5,409.818,216.938,4869.562,98215,0.294,0.034,-0.216,0.189,-0.022,-0.561,0.205,-0.675,0.372,0.78,0.366,0.201,0.309,0.743,0.85,25,0.95,0.148,0.495,0.602,-0.066,0.084,-0.166,0.4,0.002,0.989,0.508,0.628,-0.001,-0.173,0.031,-0.21,0.672,-0.353,0.499
2.022,86747,0.175,0.703,0.89,81.8,463.518,215.966,5245.488,154800,0.392,0.402,0.223,0.159,0.199,0.007,0.312,-1.0,0.428,0.598,-0.248,-0.001,-0.018,0.158,-0.82,19,0.043,0.063,0.209,0.848,0.21,0.077,0.147,1.0,0.01,1.0,0.578,1.0,0.001,1.0,0.092,0.997,1.0,1.0,0.931
2.545,93467,0.179,0.63,0.891,80.3,467.469,216.715,5194.282,139526,0.32,-0.352,-0.39,-0.022,-0.234,-0.404,-0.018,0.202,0.863,0.254,-0.647,-0.434,-0.595,0.174,-0.054,19,0.153,0.112,0.742,-0.224,-0.363,0.799,0.452,0.177,0.58,-0.049,0.635,0.031,0.654,-0.093,-0.784,-0.587,-0.812,0.643,-0.393
2.54,40729,0.12,0.571,0.263,76.8,356.975,220.437,4970.474,44369,0.189,-0.595,0.238,0.06,0.143,-0.593,0.023,-0.4,0.368,-0.619,-0.229,0.338,-0.009,0.482,0.605,24,0.023,0.08,0.865,0.398,0.209,0.066,0.636,0.487,0.009,0.612,0.366,0.644,0.041,0.453,-0.054,-0.407,-0.246,-0.691,0.677
1.466,94966,0.184,0.696,0.926,79.6,445.423,223.122,5154.19,144715,0.344,0.176,-0.568,-0.042,-0.328,-0.043,-0.228,0.06,-0.273,0.849,0.46,0.183,0.055,0.174,-0.568,17,0.216,0.033,0.309,0.199,0.394,0.822,0.051,0.875,-0.506,-0.101,0.499,-0.017,0.961,0.682,0.662,0.392,0.332,0.22,0.458
2.315,96174,0.201,0.722,0.954,79.3,449.709,220.185,5446.876,132654,0.178,-0.794,0.012,-0.492,-0.359,-0.825,-0.074,0.17,-0.013,-0.887,-0.001,-0.82,-0.735,0.181,0.046,16,0.036,0.138,0.289,-0.366,-0.015,0.447,-0.006,0.957,0.01,0.904,0.558,-0.569,-0.007,0.855,0.005,-0.987,-0.73,0.253,0.016
2.445,101149,0.182,0.622,0.781,81.3,437.568,219.943,5403.005,165299,0.234,-0.016,-0.53,-0.049,-0.368,-0.608,0.206,0.028,-0.019,-0.631,0.047,-0.437,-0.489,0.54,-0.322,26,0.959,0.018,0.544,0.03,-0.474,0.032,0.109,0.324,0.04,0.517,0.539,0.103,-0.077,0.031,0.009,-0.378,-0.254,0.445,0.285
1.742,105398,0.213,0.545,0.952,82.1,409.967,225.087,5531.984,151394,0.101,-0.004,-0.341,0.03,-0.355,-0.565,0.189,-0.151,-0.064,-0.62,0.041,-0.357,-0.376,0.455,-0.253,24,0.917,0.016,0.516,-0.011,-0.436,0.087,-0.006,0.348,-0.022,0.49,0.43,0.037,0.002,0.16,-0.034,-0.429,-0.275,0.357,0.32
2.116,92542,0.18,0.59,1.0,80.6,426.239,223.373,5296.397,133259,0.331,-0.042,0.242,-0.615,-0.175,0.269,0.012,-0.486,0.1,0.373,-0.32,0.941,0.935,0.169,-0.787,16,0.264,0.047,0.248,0.403,0.577,0.509,0.297,0.429,-0.056,0.057,0.477,0.191,0.006,0.598,0.046,-0.87,-0.011,-0.987,0.894
2.035,93663,0.161,0.631,0.731,82.1,431.645,214.566,5352.884,159629,0.341,0.05,-0.297,0.03,-0.353,-0.611,0.427,0.173,0.061,-0.599,0.04,-0.409,-0.312,0.496,-0.433,22,0.824,0.15,0.488,-0.019,-0.347,0.041,-0.33,0.275,-0.037,0.48,0.531,0.19,0.095,0.073,0.043,-0.373,-0.277,0.36,0.344
1.871,99833,0.161,0.564,0.987,80.0,447.929,219.585,5254.497,137313,0.274,0.211,-0.624,0.1,-0.433,0.148,0.101,-0.945,0.675,0.808,0.411,0.058,0.422,0.189,0.623,17,0.249,0.013,0.142,0.726,0.617,0.051,-0.507,0.636,-0.007,0.926,0.57,0.522,-0.002,0.924,0.058,0.686,0.55,-0.37,0.572
1.707,85573,0.169,0.617,0.833,80.0,451.898,216.592,5422.148,148515,0.249,0.436,0.108,0.251,-0.131,0.402,-0.071,-0.068,0.97,1.0,-0.065,-0.755,-0.841,0.535,-0.013,19,0.078,0.069,0.727,0.213,0.912,0.081,-0.166,-0.432,0.973,0.032,0.539,-0.981,-0.913,1.0,1.0,-0.641,0.98,-0.948,1.0
1.74,93758,0.15,0.618,0.906,78.4,462.641,220.971,5296.974,126689,0.166,-0.176,0.191,-0.187,0.064,0.301,0.622,-0.392,-0.015,0.244,-0.303,0.061,-0.012,0.152,0.246,18,0.144,0.083,0.169,0.295,0.616,0.47,-0.423,0.301,-0.018,0.247,0.626,0.639,0.058,0.758,0.062,0.605,0.039,-0.702,0.545
1.455,100314,0.181,0.692,0.882,79.7,484.332,217.588,5465.989,152219,0.251,0.355,-0.577,0.05,0.019,-0.648,-0.495,-0.123,0.84,-0.163,-0.747,0.77,0.186,0.474,-0.465,44,0.828,0.054,0.171,0.156,0.581,0.051,-0.233,0.404,-0.471,0.07,0.632,-0.028,0.429,0.751,-0.032,-0.948,-0.214,-0.799,0.744
1.494,38759,0.16,0.619,0.267,77.8,347.956,206.618,4825.914,54811,0.372,0.066,0.378,0.314,-0.414,-0.356,0.243,-0.586,0.441,0.325,-0.379,0.639,0.426,0.568,-0.082,24,0.269,0.109,0.402,0.561,-0.634,0.085,-0.269,1.0,0.021,0.723,0.355,-0.016,0.008,0.934,-0.035,0.575,0.323,-0.004,-0.306
1.252,95636,0.212,0.574,0.886,80.2,443.861,219.062,5098.914,159970,0.282,-0.211,-0.531,-0.374,-0.461,-0.533,0.366,0.061,0.489,1.0,-0.389,0.347,-0.148,0.172,-0.357,16,-0.041,0.062,0.298,-0.044,0.431,0.583,0.591,0.77,-0.074,0.899,0.56,-0.685,-0.042,0.692,-0.053,-0.013,0.727,0.973,0.662
1.519,102347,0.174,0.665,0.887,79.0,441.344,220.576,5217.909,117834,0.11,0.382,-0.833,0.46,0.411,0.382,0.247,-0.414,-0.769,0.969,0.911,0.986,0.943,0.515,0.916,18,0.136,0.103,0.092,0.436,1.0,0.079,-0.618,1.0,1.0,0.031,0.499,1.0,0.968,1.0,1.0,0.984,0.997,-1.0,0.91
1.77,95478,0.202,0.557,0.957,77.9,441.077,218.382,5224.522,146764,0.335,0.211,-0.605,0.2,-0.316,0.165,0.017,-0.886,0.549,0.841,0.421,-0.009,0.492,0.224,0.565,19,0.174,0.058,0.088,0.822,0.647,0.03,0.093,0.603,0.071,0.842,0.555,0.616,-0.072,1.0,0.011,0.638,0.612,-0.351,0.547
1.817,93290,0.16,0.599,0.941,76.4,470.339,215.37,5050.972,136782,0.37,0.212,-0.012,0.045,0.342,-0.571,0.291,-0.483,0.04,0.465,0.173,0.571,0.48,0.232,0.041,19,0.55,0.031,0.182,0.592,0.158,0.465,-0.474,0.215,-0.007,0.066,0.583,0.073,0.042,0.305,0.039,-0.205,-0.531,-0.312,-0.994
2.023,93960,0.208,0.671,0.829,78.7,481.546,218.926,5108.574,139171,0.377,0.13,-0.461,0.01,0.051,-0.582,0.252,0.069,-0.235,0.842,0.518,-0.018,-0.044,0.178,-0.341,19,0.168,0.089,0.568,0.154,0.385,0.524,-0.03,0.728,-0.031,0.625,0.609,0.404,-0.145,0.924,-0.018,0.681,0.206,-0.393,0.221
1.662,92508,0.145,0.625,0.972,83.0,453.337,222.036,5232.541,153083,0.342,-0.37,-0.645,-0.013,0.176,-0.365,0.232,-0.011,0.397,0.295,-0.424,-0.225,0.404,0.179,-0.064,19,0.203,0.087,0.089,0.205,0.417,0.767,-0.54,0.382,0.11,0.543,0.533,0.429,-0.016,0.586,0.069,-0.489,0.411,-0.97,-0.799
1.447,91936,0.187,0.672,1.0,79.6,455.633,220.516,5271.231,142186,0.234,0.176,0.229,0.041,-0.019,0.104,0.176,-0.82,-0.144,0.438,-0.188,0.551,0.086,0.187,-0.364,17,-0.028,0.047,0.68,0.922,0.649,0.049,0.692,0.059,0.011,-0.001,0.57,0.13,0.039,0.212,0.013,0.288,-0.051,-0.889,0.231
2.244,101361,0.181,0.58,0.721,80.0,454.429,222.52,5389.985,132370,0.208,-0.105,0.34,0.096,-0.259,-0.192,0.422,-0.179,0.555,0.25,-0.381,0.443,0.462,0.215,0.703,16,0.233,0.061,0.215,-0.193,-0.424,0.851,0.022,0.799,-0.003,0.725,0.545,0.356,-0.021,0.721,-0.02,-0.86,-1.0,-0.934,0.75
1.694,96876,0.177,0.627,0.892,80.8,450.167,217.031,5068.716,154072,0.125,0.118,0.217,-0.028,0.362,-0.66,0.073,0.094,0.596,0.96,0.141,-0.409,-0.417,0.206,-0.404,17,0.08,0.071,0.597,-0.156,-0.209,0.006,-0.196,0.932,0.034,0.649,0.527,0.589,-0.017,0.646,0.001,0.242,0.255,0.697,0.214
1.69,95287,0.116,0.623,0.755,77.6,447.863,224.055,5093.951,153349,0.274,-0.624,-0.648,-0.604,-0.168,0.003,-0.084,0.355,0.139,-0.401,0.332,0.01,0.041,0.167,-0.544,16,0.141,0.089,0.272,-0.463,-0.255,0.099,0.077,0.007,0.775,0.0,0.593,0.087,0.04,-0.052,0.381,0.009,-0.105,0.03,0.023
2.289,39304,0.158,0.618,0.438,78.5,332.718,222.317,5154.541,44154,0.262,-0.628,0.255,-0.05,0.239,-0.588,0.315,-0.277,0.351,-0.566,-0.215,0.408,0.15,0.48,0.572,27,0.161,0.1,0.892,0.323,0.14,0.048,0.005,0.594,-0.022,0.537,0.299,0.596,-0.062,0.451,-0.001,-0.356,-0.264,-0.683,0.639
1.34,89918,0.145,0.59,0.982,76.7,448.752,220.521,5152.662,139377,0.283,0.2,-0.155,0.208,0.012,0.263,0.109,-0.31,0.173,0.214,0.429,0.603,0.405,0.233,-0.275,19,0.191,0.027,0.298,0.279,0.441,0.057,0.332,0.769,-0.003,0.736,0.523,0.516,-0.007,0.1,0.004,0.824,0.057,-1.0,0.344
2.191,90861,0.178,0.651,0.895,78.1,458.689,222.871,5261.291,149921,0.326,0.417,0.014,0.192,0.375,-0.01,0.039,-0.736,0.082,0.754,0.36,0.405,-0.032,0.5,0.007,24,0.555,0.03,0.613,0.569,0.468,0.667,-0.194,0.949,0.057,0.006,0.577,0.865,0.408,0.839,0.518,-0.423,0.441,-0.772,0.593
1.074,45864,0.076,0.6,0.53,76.8,343.543,222.537,4902.819,86721,0.36,0.422,-0.27,0.258,0.145,-0.82,0.453,-0.755,0.402,0.154,0.978,0.585,0.809,0.172,-0.03,16,0.012,0.061,0.409,0.857,0.596,0.66,-0.257,0.016,0.069,0.037,0.305,-0.028,-0.035,0.068,0.027,-0.706,-0.453,-0.436,0.97
1.995,99758,0.184,0.68,0.904,79.3,433.498,228.388,5454.117,133026,0.27,-0.179,0.197,0.071,0.203,-0.669,0.241,-0.157,0.332,0.109,-0.191,-0.129,0.212,0.159,-0.369,19,0.01,0.068,0.37,0.192,0.25,0.544,-0.563,0.247,-0.511,0.006,0.516,0.504,0.692,0.076,0.014,0.678,0.381,-0.716,0.582
1.474,99901,0.192,0.638,0.826,79.8,466.552,225.032,5169.483,159290,0.158,0.231,-0.015,0.239,-0.018,-0.173,0.309,-0.307,0.448,0.019,0.159,0.638,0.374,0.226,0.356,17,0.211,0.056,0.518,0.392,0.018,0.007,-0.072,0.924,-0.053,0.717,0.588,0.415,0.048,0.161,0.03,0.524,0.767,-0.034,0.643
1.508,100108,0.162,0.643,0.884,77.9,450.035,225.287,5075.233,143534,0.221,-0.403,0.442,-0.148,0.211,-0.433,0.31,0.627,-0.151,-0.652,-0.7,0.001,0.222,0.159,0.361,25,-0.012,0.101,0.727,-0.578,0.568,0.092,-0.264,0.145,-0.011,-0.003,0.521,0.211,-0.072,0.304,0.024,-0.233,-0.238,-0.887,0.21
2.131,92553,0.191,0.513,0.916,82.4,458.954,217.769,5322.042,141274,0.202,-0.536,0.155,-0.235,-0.016,-0.611,0.228,-0.621,0.145,-0.166,-0.784,-0.222,-0.463,0.208,0.899,16,0.184,0.145,0.368,0.756,0.418,0.556,-0.692,0.298,-0.515,0.082,0.602,0.692,-0.002,0.948,-0.384,-1.0,0.514,-0.568,0.83
